Nama Pengguna,Rating,Tanggal,Ulasan
Lis lms,3,2026-05-07 1:12:24,"halo admin gojek,saya pengguna blm ada 1 tahun,,kenapa akhir2 ini harga pulang lebih mahal 2x lipat dr harga pergi?..biasa nya harga PP sama tp akhir2 ini hanya harga pulang nya saja 2x nya padahal jarak nya sama seperti saat pergi.mohon di tinjau lg kendala nya dimana.terima kasih"
Fiqri Fachrezi,1,2026-05-07 1:10:04,"susah sangat buat laporan bantuan, dijawabnya ai mulu. cs kalian pada kemana sih"
Suryadi Setiawan,5,2026-05-07 1:08:27,ok lah
Tsabitah Ulhaq,1,2026-05-07 1:05:41,"paylater gak bisa, driver pun irit."
EVA YULIANI,5,2026-05-07 1:00:40,good
The Unyiel'S,5,2026-05-07 0:49:54,mayan
1514 - Al-Fariqy Raihan Azhwar,1,2026-05-07 0:46:52,streaming map lo nge bug tuh
Amir Mirum,2,2026-05-07 0:43:30,tolaong gopay pinjam lihat orang yang rajin bayar tapi di tolak uda tidak jelas lagi semau nya uda jagan dowlod lagi kita di sini tingalkan gojek dari sekarang
Vincent Iskandar,1,2026-05-07 0:22:41,"If you in indonesia dont use car service from gojek, many driver accept your order and asking you to cancel if they didnt want 馃ぃ"
YAZID ABRAR SIREGAR,1,2026-05-07 0:02:52,driver nya lambat
Grace Hutapea,5,2026-05-06 23:44:50,Teman perjalanan sehari-hari anak ku馃憤
Jihan Nariswari,1,2026-05-06 23:02:13,Aplikasiiinya sering eror malesin banget. JELEK APLIKASI MEDIT PUNYA DRIVER GA ADA YANG MAU AMBIL
Herdiyana Rosadi,5,2026-05-06 22:24:02,bagus cepat
Silat Hilir,5,2026-05-06 20:55:37,memuaskan
Husin s20,1,2026-05-06 17:37:07,aplikasi sangat buruk sekali
Muhammad Alkodri,5,2026-05-06 17:06:50,ok
Dila Cika,5,2026-05-06 17:01:43,bagus baik
Didan Ikbal,1,2026-05-06 16:17:35,"driver gocar harus disiplin,daerah jakarta saya pesan berkali-kali dan di cancel berkali-kali,di chat pada gak dibales,harus di tindak tegas perihal disiplin"
lilis lilisnuraeni,5,2026-05-06 16:05:40,good
Asep Kartono,3,2026-05-06 16:00:20,kecewa ngorder hemat dapat jauh jauh ngorder biasa terus muter ga dapat driver aneh sampai tlat mau kemana mana mengecewakan
Sindy Laila,1,2026-05-06 15:59:22,"MAIN CENCEL SEENAK JIDAT DRIVER, PADAHAL ONGKIR GEDE UDAH TAU DAPETIN LAGI SUSAH.. GOFOOD SEKARANG PESEN BISA 2JAM SENDIRI, GARA GARA DRIVER GAK ADA YANG MAU AMBIL GUA PERNAH SAMPE 3JAM CARI RESTO DI BATALIN TERUS GARA GARA GA DAPET DRIVER... DRIVER PADA BELAGU ONGKIR GEDE GA ADA YANG MAU AMBIL"
Komala mala,5,2026-05-06 15:54:04,puas
Najwa Kayla,1,2026-05-06 15:54:03,"halo. saya ingin melaporkan ini kenapa ya saya suka mendapatkan 2 driver di waktu yg sama? bahkan aplikasinya pending ketika customer membatalkan? temen saya juga mengalami hal serupa. tolong dibenarkan sistemnya ya, agar kejadian mendapatkan 2 driver diwaktu yg sama tidak terulang. karena itu benar benar tidak enak. jelek sekali sistem pemesanannya kok bisa kaya gitu padahal sebelumnya dan udah lama sekali pakai gojek ga pernah kejadian hal seperti ini. terima kasih 馃檹馃徎"
icaL Cusmi,4,2026-05-06 15:51:04,woy gojek kenapa ini gangguan mulu?!! gw mau bayar cicilan jadi gak bisa glliran lewat dari tanggal gw di bebanin bunga.. yang bener aje.. urus dong punya aplikasi!!!!!!
Annisa Setyaningsih,2,2026-05-06 15:47:59,"knp sih driver gojek skrng pada gak jelas?? dua kali dapet driver tp dia sama sekali gak bergerak bahkan menjauh dari penjemputan lokasi, giliran ditanya mau ambil apa enggak, cuma diem aja bisanya! kalo emg gak mau ambil tuh bilang!! kan orang jd nunggu lama! ditambah saya itu lagi sakit, pengen cepet"" pulang buat istirahat, tapi malah dighosting sm driver. kalo dari awal nolak krn gak cocok kan bisa bilang dari awal biar saya cancel, ini malah diem aja! bisu kali ya?"
Alan Setiawan,5,2026-05-06 15:44:56,tolong di update lagi masa restoran tutup tapi di aplikasi buka jadinya susah mau di batalkan
Iman Suherman,4,2026-05-06 15:44:14,Kenapa GoCar Hemat Harganya Lebih Mahal Dari Yang Biasa?
Yoga Azis,3,2026-05-06 15:35:51,jelek banget mahal mahal banget ongkirnya
FrediAjana Fu,5,2026-05-06 14:52:00,Mantap
Azzahra,3,2026-05-06 14:50:18,"apk lumayan, tapi sangat di sayangkan saya menemukan beberapa driver yang menyepelekan tanggungjawab nya, banyak sekali costumer termasuk saya sudah menunggu 30 menit bahkan lebih untuk penjemputan tetapi driver putar balik dan malah pulang kerumah nya sendiri membiarkan beberapa costumer menunggu tanpa kepastian dan jelas ini memakan waktu penting seseorang terutama jika orang itu memiliki waktu penting untuk berangkat kerja maupun kuliah, penyeleksian nya tolong di perhatikan lagi"
FERY CANDRA,5,2026-05-06 14:08:44,cukup puas
Arra Sholeha,1,2026-05-06 14:04:21,"jelek banget , ga bsa baca map titik lokasi pnjemputan pdahal udh sesuai peta di titikin tp geser lagi geser lagi , tiap naik hrus debad dlu"
Nurhanna Asa,5,2026-05-06 13:45:18,tepat wkt dtg nya ramah pengemudi nya bnyk promo
Mr Ryan,5,2026-05-06 13:02:09,semoga gojek selalu ngasih yang terbaik buat pelanggan setia.
Ratu Asyifa,5,2026-05-06 12:51:08,gojek oke
Winwin Abdi,3,2026-05-06 12:36:19,"di aplikasi gojek klo top up di alfamart, indomaret GRATIS.... FAKTANYA isi 20rb jd saldo 18rb admin 2rb... kasih info yg bener dong"
Jam Dinding,5,2026-05-06 12:33:19,Joss mantap
Bagoes Boedie,3,2026-05-06 12:23:39,jos
Azka Auliya Nurazizah,5,2026-05-06 12:20:36,"banyak diskon gess, tapi banyakin lagi plis"
TJAN TJETJEP,5,2026-05-06 11:55:13,cepat & sangat baik
Andrea Lukman Hakim,5,2026-05-06 11:53:52,kicau mania keren
Dave devil Dave,5,2026-05-06 11:53:13,bagus
aris budisantosa,5,2026-05-06 11:48:11,puas
el barca,5,2026-05-06 11:47:41,mantap
Marky light,1,2026-05-06 11:45:04,"akhir akhir ini tiap top up gopay di sini selalu delay lama sekali, mengakibatkan keterlambatan untuk melakukan pemesanan, sudah 2x kejadian"
Trikaria Gemilang,5,2026-05-06 11:28:16,bagus
Adi Andrian,1,2026-05-06 11:27:11,driver dpt 5rb ambil gofood nya jauh. 6ribu anter jauh jmput jauh. pulang nya kosong. uda skarang akun aceng anyep. gk jlas gojek
Aini Dewi,5,2026-05-06 11:04:12,ok
Okta Perania,5,2026-05-06 10:57:38,oke oke aja membantu buat pesen goofood cepet bgt dpt driver nya
Meisya Novriadi,5,2026-05-06 10:49:20,good
Mochamad Sultoni,5,2026-05-06 10:49:01,makasih pak
frengky l,5,2026-05-06 10:44:28,terbaik
Faisah Safitri,5,2026-05-06 10:34:02,mntap
arya gibran chairi,5,2026-05-06 10:02:21,apk yg sangat bagus
Yogie Permana,5,2026-05-06 10:00:24,keren
Arin Arini,5,2026-05-06 9:57:27,aman
Shopee Food,1,2026-05-06 9:50:20,"jangan ada yang pake gojek, unistall sekarang rame-rame karena aplikasi banyak merugikan driver atau pun customer dengan system pembodohan ...laksanakan unistall ya guys"
Muchlas in,5,2026-05-06 9:22:12,ok
Semuel Lentholangi,5,2026-05-06 9:15:26,Drivernya ramah sopan kendarannnya bersih
Kucing Dontol,1,2026-05-06 8:58:21,nyari customer servis di aplikasi isinya cuma templat dan bot ga ada cs manusia
Anna Cp,5,2026-05-06 7:53:40,cepat memuaskan layanan gojek dan gocar
Muh. Aufar Pratama,5,2026-05-06 7:44:23,aplikasinya sangat membantu dan menyediakan pilihan pembayaran
Sahrial As,1,2026-05-06 7:42:51,Tarif nya diturunin diam2 bonus sudah tidak ada harga kebutuhan naik bagaimana bisa driver sejahtera? biaya jasa aplikasi tinggi customer bayar nya mahal driver nya kebagian sedikit
Ngkong Yan,5,2026-05-06 7:32:56,baik semuanya
Parsa F,3,2026-05-06 7:28:31,tidak ada pemberitahuan queue
Gezy Elkajny,5,2026-05-06 7:06:06,"saya sangat suka pakai aplikasi awalan go, s saya pake semua gojek dan gopay"
Dewilde Angela,5,2026-05-06 6:19:39,sangat membantu dan mudah untuk braktifitas
Dona Agung,5,2026-05-06 6:03:11,Aman dan Nyaman
Griselda Hanania,5,2026-05-06 6:02:57,bagus sih
anas 17,5,2026-05-06 6:02:35,"sudah cukup baik, lumayan sebagai alternatif ketika shopee lagi gk dapat promo"
Ajeng Giovani,5,2026-05-06 5:56:32,"pelayanan oke, tingkatkan"
Satria Agung,5,2026-05-06 5:54:37,rekomendasi
Wayan Abdullah,5,2026-05-06 5:52:59,mempermudah transportasi
Takwa ansar Makatita,5,2026-05-06 5:50:04,mantapp untuk perjalannyaa
Ling Ny,1,2026-05-06 5:01:41,aplikasi sampah
Adi Purnomo,5,2026-05-06 4:58:31,good
銊氥剸釛辅 涓垮昂7,1,2026-05-06 4:54:58,"tolong ditambah event yang bisa dapat coin, dan ditambah game yg bisa dapat coin ,game gocatnya adain menu double coinnya please diupdate developer 馃檹馃徑."
Dian Handayani,5,2026-05-06 4:54:55,perjalanan lebih aman dan nyaman
Heri Hariyadi,5,2026-05-06 4:46:14,good app
Dadang Yuliantok,5,2026-05-06 4:43:52,sopan dan ramah.cepat dan tepat waktu
SL AR,1,2026-05-06 4:40:29,Bintang satu aja...pelayanan buruk tidak berguna mending gulung tikar aja kembali ke laut
Nazzala Keisya,1,2026-05-06 4:35:20,"apa coba udh sering bgt top up tapi saldo selalu ga pernah masuk, pdhl udh berhasil top up nya"
Amin Muhyiddin,1,2026-05-06 4:29:37,layanam cs lenyap. tidak bisa ganti nomer hp. chat bot.
Jeni Eni,1,2026-05-06 4:28:36,kasian mamang gojek nya ongkir nya murah. dan klo dapet orderan yg double cuma di tambahin sedikit.
Gustav Rostov,3,2026-05-06 4:16:30,Suara Notif nya ganggu banget. Suara notif yang dulu lebih enak
Tommy Tommy,5,2026-05-06 3:56:20,"ya The best public transport, wise driver and fine fare"
Rahma Yanti Rahman,5,2026-05-06 3:52:47,cepat pelayanannya saya suka dan amanah
Kamala Mala,5,2026-05-06 3:44:51,sangat kicau
Bhre FARUQ,1,2026-05-06 3:44:16,"costumer servis GO-JEK lambat, aplikasinya kadang error ga bisa nge chat driver."
Dwi Pongky,5,2026-05-06 3:27:27,opsi klo lagi mager馃榿
rizki aulia,5,2026-05-06 3:20:02,cepat dan aman
N虉矛nos Reginales N虉矛nos,5,2026-05-06 3:16:52,mauliate
Ita Nursolihat,5,2026-05-06 3:14:56,manjay (mantap jaya)
Aam Putra Bungsu,5,2026-05-06 3:12:52,mantap
arief hamzah,5,2026-05-06 3:12:35,ok
Dede Phong,5,2026-05-06 3:03:13,mantap
Hendry Chen,1,2026-05-06 2:48:44,aplikasi busuk makin banyak aturan makin ribet...ngorder go send aja hampir 30 menit status masih mencari driver terus kaga dapat虏...pindah aplikasi aja udah
Reiz,1,2026-05-06 2:47:11,Aplikasi aneh. Pesan GoCar 3x cancel sendiri padahal driver sudah dekat. Saya sampai kena peringatan. Pesan GoFood malah order di resto yg sebelumnya padahal sudah klik order di resto lain yg juga udah pilih menu & voucher. Makin aneh lagi scroll gofood muter-muter doang pilihannya
Hendra Febrianto,5,2026-05-06 2:33:34,goooood
I NYOMAN PUTRA ASMARA,5,2026-05-06 2:02:49,cepat response
Septi Rahmawatitariutami,5,2026-05-06 1:37:07,semoga voucher nya ditambah terus hehe馃┓
Adi Nugraha,5,2026-05-06 1:31:57,cepat dn aman
Rizki Ilahi,5,2026-05-06 1:27:08,Mohon dibantu diperhatikan kesejahteraan drivernya ya
Alfredo Sama,5,2026-05-06 1:15:45,Puassssszzzzz
Alimin Regals,1,2026-05-06 0:35:40,"harus ada customer service sendiri untuk penanganan masalah paket hilang,barang ketinggalan,agar kami tidak disuruh menunggu saja tanpa kepastian berapa lama masalah akan selesai,bobroknya perusahaan keliatan dari cara penangan masalahnya"
Titinmulya,3,2026-05-06 0:12:13,"kalo ujan susah cari dirver, mana onkosnya berubah2 naik naik terus dapet nya tetep.susah"
M Rizal,1,2026-05-06 0:08:53,"tolong kepada pihak gojek untuk menghilangkan layanan gopaylater di akun saya telat 1 hari 50rb apa"" an saya tidak Sudi ada nya layanan gopay later lgi di akun saya"
yuli yanti,5,2026-05-06 0:07:16,"sangat membantu, mudah saat memesan"
Putri ayu Yasinta,1,2026-05-06 0:02:54,driver pada sok .. gamau ambil orang di terminal yg bawa barang banyak !
Mutiaradwi Anggraeni,4,2026-05-05 23:52:11,"Go-Jek si bagus ya tpi sebel bngt lagi buru buru trus ga sempet update disuruh updat dlu, lama bngt lagi, ga bisa ntar aja apa updatenya鈽猴笍"
Yohana Naftali,1,2026-05-05 23:25:06,"Makin kesini pelayanannya semakin menurun, sulit dapat driver padahal di aplikasi banyak nampilin driver tapi gada 1 pun yg nyangkut. Malah disuruh upgrade biaya, pas udh di upgrade sama ajaa tetep susah dpt drivernya"
hengtik sistiyaningrum,5,2026-05-05 23:23:54,sangat tepat waktu dan save drive
Tita Karlina,5,2026-05-05 23:23:18,puas
Toples Ples,5,2026-05-05 23:14:07,pelayanan driver Go car nya ramah.. mobil nya bersih dan nyaman... jika duduk di kursi depan selalu diingatkan untuk pakai sabuk pengaman...banyak promo harga... sangat terjangkau...puas banget... pokoknya Siip...mau kemana mana selalu ingat Gojek... dan jika pesan gojek responnya cepat...meskipun jarak nya sangat dekat driver motor selalu menawarkan untuk pakai helm.pelindung kepala... Terimakasih Gojek馃馃馃馃馃 猸愨瓙猸愨瓙猸愷煡梆煡梆煡梆煡梆煡梆煈嶐煈嶐煈嶐煈嶐煈嶐煉欚煉欚煉欚煉欚煉欚煓忦煓忦煓忦煓忦煓忦煂桂煂桂煂桂煂桂煂光潳锔忊潳锔忊潳锔忊潳锔忊潳锔忦煫娥煫娥煫娥煫娥煫�....
Nofita Rosa,5,2026-05-05 23:11:08,mantapp
Husnah Uun,4,2026-05-05 23:05:38,untuk aplikasi nya mudah sekali dalam penggunaan tetapi kenapa ya 1 Minggu sekali update terus jg gimana caranya app nya terbaca di user interface hp saya. setiap mau buka gojek aplikasi pasti buka nya ke playstore kan jdnya repot. gak bisa buru buru
YOS BATUBARA,5,2026-05-05 22:54:27,Pelayanan Mantablah
Gun Gun,5,2026-05-05 22:53:23,"mudah, praktis, dan pemantauan gampang"
Rafa Alinda 07,3,2026-05-05 21:32:03,"saya di kirimi saldo ke akun gojek ku..tapi saldo nya tidak masuk masuk..tapi dari pihak pengirim sudah ada kwitansi notifikasi sukses,,dan dan saya mau buat laporan dari aplikasi gojek kagak bisa di menu bantuan kagak ada opsi buat bikin laporannya..trus gimana saya bisa laporan ke pihak gojek kalo saldonya belum masuk masuk."
Achmad Fauzi,5,2026-05-05 19:43:41,bagus
RIDO SYAHPUTRA,5,2026-05-05 18:43:16,Gilak mantep banget ni apk nya
Tulus Supriyadi,5,2026-05-05 18:32:53,good aplikasi
ALENA,5,2026-05-05 17:39:25,bagus
Radentzhau,5,2026-05-05 17:07:46,mantap
Fifi Suriyanti,5,2026-05-05 17:03:33,mantap
Fahmi Ramdan,1,2026-05-05 16:28:42,driver pilih2 orderan
Yolanda Fitriana,5,2026-05-05 15:52:29,suka dengan aplikasi ini
Bintang Sofyan,5,2026-05-05 15:34:14,better sekarang
Dull Jalal,5,2026-05-05 15:28:13,goooood
Sapda Fajar9191,5,2026-05-05 15:09:53,馃憤馃憤馃憤
zikri muhardiza,1,2026-05-05 15:09:13,"cari drivernya lama kalii,baru udah dapat malah di batalin terus kalau udah lama mencari nya malah di naikin ongkos nya, ga bagus ini mah"
xcf RYDZWAN NURDIN,1,2026-05-05 14:37:33,aku cuma mau mematikan pembayaran otomatis hasilnya ngak ketemu2.. jadi aku kasih bintang 1 saja..
Ades Tiara Sapira,5,2026-05-05 14:30:44,susah banget dapat driver
Danil Matin,5,2026-05-05 14:11:37,sangat bagus
Tefilla Y.X.O,2,2026-05-05 14:05:28,drivernya suka cancel seenaknya tanpa konfirm daerah saya jg bukan redzone pernah juga mau gosend makanan banyak driver yang nerima tapi ga lama cancel kalo gamau bantu antar yauda gausa ditake dari awal bikin orang susah aja kayaknya perlu diketatin lagi kualifikasi untuk terima kerja sama mitra dll
Eko Utami,5,2026-05-05 13:35:13,mantap
Rudi WiBowo,5,2026-05-05 13:09:47,ok
Arfan Nur,1,2026-05-05 13:05:43,"sudah verifikasi no wa, tapi minta lagi verifikasi email, padahal emailnya tidak aktif, bikin ribet"
edmonsaija,5,2026-05-05 12:46:13,bagus cepat
Muhammad Ilham Fadil,4,2026-05-05 12:33:36,"Kapan ada pembayaran QRIS??? Notifikasinya lembet, kadang suka ga masuk"
Surma Adit,5,2026-05-05 12:28:58,bakus
Devdan Asvathama,1,2026-05-05 12:26:36,"driver go car minta tolong di benerin lagi,masa mesen gocar melebihi estimasi,saya sebagai costumer kecewa karena mama saya maraj marah kepada saya karna oknum gocar yang tidak becus,trmksh."
arfan yunus (Arfanyns),1,2026-05-05 12:20:22,aplikasi jelek
Muhammad Ranggayana Pasha,1,2026-05-05 12:17:20,titik di aplikasi dan alamat di deskripsinya sering beda. titik di hp driver dan di hp customer juga suka beda. bikin ribut antara driver dan customer doang ni aplikasi kerjaannya.
SL 7 JAYA ELEKTRONIK,1,2026-05-05 12:16:55,"aplikasi aneh, pesanan dibatalin sendiri sama driver dan di alihkan ke driver lain, masa langsung 2 driver yang di kirim sama gojeknya sementara orderan cuman 1, aneh sistemnya, ngerugiin driver sama cuatomer sistemnya ini"
Sri Mulyati,4,2026-05-05 12:16:29,boleh lah.. walau kadang telat
kun aguero,5,2026-05-05 12:07:07,Good
Bintang 05,4,2026-05-05 12:06:42,udh gk ada promo
Agus Santoso,5,2026-05-05 12:05:12,mantap
Dadang Kusmana _Satu Parongpong,5,2026-05-05 12:04:18,Bagus banget
edi kinarto,5,2026-05-05 11:57:34,Sangat membantu sekali Bintang lima. Sangat Mantab
wingki sari,1,2026-05-05 11:27:27,"saat ini saya kasih bintang 1 aja untuk aplikasinya, pesen gofood, biaya penanganan nya mahal bgt dan ada ""group order"" kalo mau murah, ribet banget sih, tinggal kasih diskon kayak dulu apa susahnya sih, masa' selisih ama sebelah bisa 30rb an, gile"
ICOL GRAWIRA,5,2026-05-05 11:27:03,mantap
Rahmat Hidayat,5,2026-05-05 11:19:58,mudah digunakan
agus afrianto,1,2026-05-05 11:10:19,"parah bgt apk ini saya selaku punya resto merasa dirugikan lama sekali dapat driver padahal barang sudah ready sekalinya dapat driver posisi sudah dekat tau"" ilang lagi drivernya beda sama apk sebelah walaopun lama tetep driver mau ambil"
Amalia Ayu,2,2026-05-05 11:07:10,"sdh kesekian kalinya dan tidak hanya saya, keluarga dan teman虏 saya sangat kecewa dengan driver gocar yg terkesan gercep ambil order tapi minta di batalkan karna alasan penjemput terlalu jauh atau mobil tidak gerak虏. sangat mengecewakan."
Arill Efendi,5,2026-05-05 11:03:58,terimaksih aplikasi ini sangat membantu saya
Ummu Opi,5,2026-05-05 11:03:16,oke
Rio Senja,5,2026-05-05 10:47:48,keren banget driver nya juga motor nya bagus bagus
Engkus Ebeng,1,2026-05-05 10:47:00,apk makin enggak jelas aja apa mau bangkrut ya ?
Ayana Sukmana,3,2026-05-05 10:35:35,kecewa sekarang titik tujuan ga bisa dipindahkan/ diganti
NOR HADI official,5,2026-05-05 10:31:56,oke bagus para driver gocar/gojek
Rosdiana Rona,5,2026-05-05 10:29:33,cepet promo nya banyak 馃檹馃檹
Kentzio Yumigo,5,2026-05-05 10:11:43,good application
alexander lie,5,2026-05-05 10:11:01,good
Dyh Ayu18,5,2026-05-05 10:10:02,good 馃憤
Luthfi Hidayat,5,2026-05-05 9:58:32,mantap
Priwa #044,5,2026-05-05 9:57:36,terimakasih
Dewa Wira,2,2026-05-05 9:50:25,"nyari driver lama nya mintak ampun, padahal lokasi di tengah kota jam ya jam kerja tapi sama sekali gk ada yg nerima orderan,"
agus priyono,5,2026-05-05 9:49:12,gooodddd
Jhon Alexander,5,2026-05-05 9:35:11,bagus dalam segi palayanan
Tommy Markus Posumah,5,2026-05-05 9:32:58,okeh
Wismawati,5,2026-05-05 9:21:03,gooooooo
Lutpi Okeep,5,2026-05-05 9:21:00,b aja
Azkal Azkia,4,2026-05-05 9:19:47,ok
GPI Sektor 1 Jakarta,3,2026-05-05 9:14:55,"makin lama , makin susah dapet driver untuk gosen instant..!!! instant aja susah, payah.."
Erika Agustin,1,2026-05-05 9:14:31,"untuk fitur layanan go pinjam sudah pernah dipakai ingin mengajukan lagi 2 kali tidak bisa menunggu 1 bulan kembali berulang terus, fiturnya sangat jelek"
masbamzps,1,2026-05-05 9:06:10,susah dapet driver lagi urgent2 nya fix uninstall
Rhany Ningsih,5,2026-05-05 8:32:22,orangnya ramah
Dewi Anggraini,5,2026-05-05 8:26:34,"Apk bagus, lumayan buat mesen mesen makanan, berpergian, dll"
Ani Indriyani,5,2026-05-05 8:24:14,membantu sekali
Elsha Aurella,5,2026-05-05 8:17:42,sangat membantu
Sumaidah Suen,5,2026-05-05 8:14:53,drivernya ramah ramah banyak paket hematnya makasi gojek
Decha cell,5,2026-05-05 8:05:34,josss
Aprilia Keyla,5,2026-05-05 8:05:00,bisa pesan dalam keadaan lagi mendesak
Togap Sitorus,5,2026-05-05 8:02:48,mantap dan keren
MULYADI,5,2026-05-05 7:51:29,"pinjam uang di gopay pinjam langsung cair. enaknya lagi bisa pinjam berkali-kali, meskipun tagihan lama belum lunas. terimakasih gojek & gopay pinjam. semoga sukses selalu."
M Sahrul Maulana,1,2026-05-05 7:38:58,tiap pesen selalu lama banget dapet drivernya
Zahwa Puspita Anggraini.,5,2026-05-05 7:28:15,tergantung driver馃憤馃憤 sejauh ini aplikasinya bagus馃
Dewi Mulyasari,1,2026-05-05 7:22:46,ga ada driver mobil yg mau jemput di perumahan
Ruth Natali,5,2026-05-05 7:22:37,banyakin promonya ya馃槃
Yuda Permana,5,2026-05-05 6:48:28,mantapppp
Alexander Putra matondang,5,2026-05-05 6:47:59,"mantapitozzzoramitozz,, aplikasi yg bagus untuk mempermudah semuanya di hidup saya,,mantap pokoknya"
Samuel Eza,5,2026-05-05 6:33:57,ok
Mey Mey,5,2026-05-05 6:23:10,mantep
Aries Rachmad,1,2026-05-05 6:22:20,kalau musim hujan di malam hari..susah cari driver.. aplikasi ini tidak rekomended.. malah dapat chat tagihan pinjol di aplikasi gojek.. kalau mau buat pinjol tolong dibedakan ya..
Kurniawati Ningsih,5,2026-05-05 6:17:39,ok cepat sampai
Sariyulis,5,2026-05-05 6:17:31,the best馃憤馃挴
David BEP,2,2026-05-05 6:11:49,"Games nya gak bisa dibuka semua. Aku pikir signal, aku coba pake Gofood ternyata lancar. Kalo aplikasinya gak kuat lebih baik gak usah diisi games lah. Biar gak besar filenya."
vici lambertino,5,2026-05-05 6:09:19,"pengantaran cepat,....banyak diskon"
Pairin Mulyadi,5,2026-05-05 6:05:45,Gojek Aman dan Terpercaya.
Khuswatun Khasanah (Uzna),5,2026-05-05 5:54:16,banyak promo nya jd lebih murah... pas banget buat ibu2 yg suka promoan iniihh馃槃
Ana Tasya,4,2026-05-05 5:45:21,"aplikasi nya bagus, cumaa tolong dong abang abng gojek nya yang ramah dikit gitu sbgian ada yang ga ramah ga punya attitude masa ngomel ngomel perkara gatau ruma saya pdhl kan saya bisa arahin, sgtu saya smperin ya, ga dianter smpe tujuan(rumah saya) mala saya yang nyamperin , malesin sih sbnrnya gtu teh ga ada usaha nya banget abang driver nya, yang buat saya risih tu di telpon si kan saya jga bs abales chat sya fast respon ko, klo ga chat nomor wa saya kan ada di cantumin."
Ruswanto Wanto,5,2026-05-05 5:42:52,Mudah aplikasi dan penggunaannya.
Marita Ilyanti,5,2026-05-05 5:10:04,tepat waktu
Timbul Suyanto,5,2026-05-05 5:05:05,"pelayanan bagus, pengiriman tepat waktu estimasi"
Ellyn Wancana,5,2026-05-05 5:02:44,okee banget sering banyak promo
Ayu Widari,5,2026-05-05 4:52:37,cepat
Yiiskaa _,1,2026-05-05 4:43:36,"saya naik gocar, disuruh offline sama drivernya. dgn alasan potongan argonya besar, sdgkan saya bayar cash. saya iyain karna rasa empati saya, penumpang yg dibawa adlh kedua ortu saya yg lagi sakit, jadi saya ga bisa berpikir jernih dlm kondisi tsb, dan dia minta uang isi tol 50k ke mama saya, mama saya isiin. stlh sampai mama saya dipinta harga 2x lipat dari argo. (rs primaya tgr- RS tarakan jkt). stlh saya share di sosmed, trnyata byk kejadian sprti saya, byk driver yg nakal demi keuntungnya"
Muslim Saleh,5,2026-05-05 4:42:29,"Tiada pilihan lain, kecuali gojek"
Bunda Betty,5,2026-05-05 4:37:07,"mudah,aman,cepat"
akihito abe,5,2026-05-05 4:36:00,ok
Novaline S 8805,5,2026-05-05 4:00:29,ntappss
Pratama.,5,2026-05-05 3:54:33,"BAGUS BAT ANJIERS, sehidup ini blm pernah nemu driver problematik disini wkwk, mantull dah ni aplikasi 馃コ"
lidya fadilla,1,2026-05-05 3:50:03,beda menit aja udh beda ongkir Kwkwk
Alin 2323,5,2026-05-05 3:12:28,sangt membantu
Nur Wilda,5,2026-05-05 3:05:43,mantap
Amethys Cahaya,5,2026-05-05 2:58:55,cepat
Yuma Adyuta,5,2026-05-05 2:41:29,bagus
Windiii,1,2026-05-05 2:37:15,sumpah driver sekarang pada males jalan. kenapaaa yaa? padahal sayaa sudah tambahin pencarian driver.
denny suseno,3,2026-05-05 2:12:55,udah diupdated aja ms eror... tiap mau order instant gak bs.... cm muncul 3 angka 馃槧馃槫
Jel Rahayu,4,2026-05-05 1:53:23,so far masih aman ya
Ana Ana,5,2026-05-05 1:25:39,siip
Key key,5,2026-05-05 1:17:05,aplikasinya bagus sangat membantu
Agus Riadi,5,2026-05-05 0:32:37,馃
Mactha Latte,1,2026-05-05 0:20:52,susah banget cari driver
Sakti Buana Wangi,5,2026-05-05 0:08:28,Gojek Terbaik
Nisrina Aula,3,2026-05-05 0:07:38,"plis tolong ya gojek pertegas dan perjelas lagi bagian parking fee nya!!! ini udh lebih mahal dr aplikasi sebelah, pakai charge parkir tambahan ke driver lagi, nyesel saya beli lewat sini"
Citra Apriyani,2,2026-05-04 23:50:54,"sya ksih nilaii segini sebenarnya karena pengalaman sy , sya pernah d fitnah oleh driver,d marah marahi, di ish ish in, dn dll, klo bukan karna gda yg anter ini dn gda ojek di sekitarnya rumah,klo semisalnya ada sy gamau pake GOJEK LAGI trauma berat tpi sy lakuin karna gaad lgi kendaraan"
ESAPRO TV,5,2026-05-04 23:48:44,mantaaap keren dan gak ribet
Mozanta Dwi R.,5,2026-05-04 23:33:53,"ada saat dibutuhkan, muantaff"
mia zumi,1,2026-05-04 23:27:47,banyak kecewa aplikasi gojek... tp tidak ada perbaikan
Atep Mugni Soleh Hudin,1,2026-05-04 23:25:11,"Banyak ojek pake jaket Gojek tapi gak ada di aplikasi, jaket sama helm nya dijualan di Tokopedia ya? JADI bingung 馃槙"
Pitunk Putih,5,2026-05-04 23:09:31,mantap
putu suryawan,5,2026-05-04 22:53:48,bagus
Harfah Harfah,3,2026-05-04 22:44:05,馃憤
Angga Novida Yasma,3,2026-05-04 21:56:15,"kadang sulit dapat kendaraan, padahal di kota yang rame seperti gresik"
HENDRI PADANENGA,5,2026-05-04 21:54:19,sangat membantu dalam kehidupan sehari-hari
Irfan Indramayu,1,2026-05-04 21:47:24,lambat dirver lama jangan donlod mending grab aja
ajna langit,4,2026-05-04 21:34:55,membantu sekali
bravopapa11,5,2026-05-04 21:26:12,good
